iter	Passed	Remaining
403	6548	9660
404	6561	9640
405	6575	9620
406	6592	9605
407	6608	9588
408	6619	9565
409	6635	9548
410	6650	9531
411	6667	9515
412	6682	9497
413	6696	9478
414	6712	9462
415	6728	9445
416	6745	9430
417	6759	9412
418	6775	9395
419	6790	9377
420	6806	9361
421	6822	9345
422	6843	9334
423	6860	9319
424	6875	9302
425	6892	9286
426	6909	9272
427	6926	9256
428	6943	9241
429	6958	9224
430	6974	9207
431	6989	9189
432	7002	9169
433	7013	9146
434	7027	9128
435	7043	9111
436	7057	9092
437	7070	9072
438	7085	9054
439	7101	9037
440	7115	9019
441	7127	8997
442	7140	8978
443	7153	8958
444	7166	8938
445	7182	8921
446	7193	8899
447	7206	8879
448	7220	8860
449	7234	8842
450	7249	8824
451	7263	8806
452	7275	8784
453	7288	8765
454	7303	8747
455	7318	8730
456	7332	8712
457	7346	8693
458	7357	8671
459	7372	8655
460	7386	8636
461	7399	8617
462	7412	8596
463	7422	8574
464	7438	8557
465	7452	8540
466	7466	8522
467	7480	8503
468	7492	8483
469	7505	8464
470	7521	8447
471	7537	8431
472	7552	8414
473	7569	8399
474	7584	8382
475	7599	8366
476	7616	8350
477	7633	8336
478	7649	8320
479	7666	8305
480	7680	8287
481	7696	8271
482	7713	8256
483	7728	8239
484	7743	8222
485	7757	8204
486	7774	8189
487	7787	8170
488	7798	8149
489	7812	8131
490	7831	8118
491	7846	8101
492	7859	8082
493	7872	8063
494	7885	8045
495	7901	8029
496	7915	8011
497	7931	7995
498	7948	7980
499	7965	7965
500	7979	7947
501	7995	7931
502	8010	7914
503	8026	7899
504	8043	7884
505	8062	7871
506	8079	7856
507	8104	7849
508	8122	7834
509	8139	7820
510	8157	7806
511	8174	7791
512	8191	7776
513	8208	7761
514	8226	7747
515	8242	7731
516	8258	7715
517	8274	7699
518	8291	7683
519	8308	7669
520	8324	7653
521	8341	7638
522	8359	7624
523	8376	7608
524	8392	7593
525	8407	7576
526	8425	7562
527	8442	7546
528	8455	7528
529	8468	7510
530	8485	7494
531	8501	7479
532	8518	7463
533	8536	7449
534	8551	7432
535	8570	7419
536	8588	7404
537	8605	7389
538	8622	7374
539	8639	7359
540	8656	7344
541	8671	7327
542	8687	7311
543	8706	7297
544	8724	7283
